Country,Gold,Silver,Bronze
United States,46,37,38
Great Britain,27,23,17
China,26,18,26
Russian Federation,19,18,19
Germany,17,10,15
Japan,12,8,21
France,10,18,14
Republic Of Korea,9,3,9
Italy,8,12,8
Australia,8,11,10
Netherlands,8,7,4
Hungary,8,3,4
Brazil,7,6,6
Spain,7,4,6
Kenya,6,6,1
Jamaica,6,3,2
Croatia,5,3,2
Cuba,5,2,4
New Zealand,4,9,5
Canada,4,3,15
Uzbekistan,4,2,7
Kazakhstan,3,5,9
Colombia,3,2,3
Switzerland,3,2,2
Islamic Republic Of Iran,3,1,4
Greece,3,1,2
Argentina,3,1,0
Denmark,2,6,7
Sweden,2,6,3
South Africa,2,6,2
Ukraine,2,5,4
Serbia,2,4,2
Poland,2,3,6
Democratic People's Republic Of Korea,2,3,2
Belgium,2,2,2
Thailand,2,2,2
Slovakia,2,2,0
Georgia,2,1,4
Azerbaijan,1,7,10
Belarus,1,4,4
Turkey,1,3,4
Armenia,1,3,0
Czech Republic,1,2,7
Ethiopia,1,2,5
Slovenia,1,2,1
Indonesia,1,2,0
Romania,1,1,3
Bahrain,1,1,0
Vietnam,1,1,0
Chinese Taipei,1,0,2
Bahamas,1,0,1
Independent Olympic Athletes,1,0,1
Cote d'Ivoire,1,0,1
Tajikistan,1,0,0
Singapore,1,0,0
Fiji,1,0,0
Kosovo,1,0,0
Jordan,1,0,0
Puerto Rico,1,0,0
Malaysia,0,4,1
Mexico,0,3,2
Algeria,0,2,0
Ireland,0,2,0
Lithuania,0,1,3
Bolivarian Republic Of Venezuela,0,1,2
Bulgaria,0,1,2
India,0,1,1
Mongolia,0,1,1
Grenada,0,1,0
Burundi,0,1,0
Niger,0,1,0
Qatar,0,1,0
Philippines,0,1,0
Norway,0,0,4
Egypt,0,0,3
Tunisia,0,0,3
Israel,0,0,2
Trinidad And Tobago,0,0,1
Nigeria,0,0,1
United Arab Emirates,0,0,1
Finland,0,0,1
Austria,0,0,1
Portugal,0,0,1
Dominican Republic,0,0,1
Morocco,0,0,1
Moldova,0,0,1
Estonia,0,0,1
Kyrgyzstan,0,0,0
